Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.93,5.05,4.9,5.02,4.923151,49129093
2017-01-04,5.01,5.04,4.96,5.02,4.923151,33080806
2017-01-05,5.01,5.09,4.99,5.0,4.903537,51213090
2017-01-06,4.99,5.12,4.93,5.05,4.952573,73207902
2017-01-09,5.03,5.09,5.01,5.07,4.972187,37816214
2017-01-10,5.07,5.23,5.04,5.13,5.031029,99210487
2017-01-11,5.11,5.18,5.08,5.15,5.050643,52699301
2017-01-12,5.15,5.17,5.0,5.03,4.932958999999999,57222477
2017-01-13,5.03,5.05,4.91,4.96,4.8643089999999995,35262961
2017-01-16,4.95,5.01,4.86,4.95,4.854501,98563728
2017-01-17,4.98,4.98,4.88,4.93,4.834887999999999,45974300
2017-01-18,5.01,5.1,5.0,5.06,4.962379,68009986
2017-01-19,5.07,5.07,5.01,5.02,4.923151,21409939
2017-01-20,5.02,5.1,5.01,5.07,4.972187,27788968
2017-01-23,5.06,5.11,5.04,5.07,4.972187,25797270
2017-01-24,5.08,5.11,5.04,5.09,4.991801000000001,26226315
2017-01-25,5.07,5.11,5.06,5.08,4.981994,15721825
2017-01-26,5.07,5.1,5.06,5.09,4.991801000000001,18672183
2017-02-03,5.09,5.09,5.02,5.03,4.932958999999999,19967760
2017-02-06,5.02,5.04,4.95,5.0,4.903537,29172199
2017-02-07,5.0,5.02,4.95,4.98,4.883923,29386078
2017-02-08,4.96,4.99,4.95,4.99,4.893730000000001,19664132
2017-02-09,4.98,4.99,4.96,4.98,4.883923,24834420
2017-02-10,4.98,5.1,4.98,5.05,4.952573,61273735
2017-02-13,5.05,5.08,5.03,5.08,4.981994,42387353
2017-02-14,5.08,5.16,5.05,5.12,5.021222,60524614
2017-02-15,5.1,5.14,5.04,5.05,4.952573,50919422
2017-02-16,5.04,5.17,5.02,5.15,5.050643,80674644
2017-02-17,5.22,5.3,5.13,5.14,5.040836,124377522
2017-02-20,5.16,5.35,5.15,5.24,5.1389059999999995,135045662
2017-02-21,5.27,5.76,5.21,5.76,5.648875,391540170
2017-02-22,5.78,5.78,5.48,5.6,5.491961,285401444
2017-02-23,5.53,5.59,5.42,5.47,5.36447,128074430
2017-02-24,5.48,5.57,5.42,5.46,5.354662,91150555
2017-02-27,5.44,5.54,5.39,5.49,5.384083,73383420
2017-02-28,5.43,5.58,5.43,5.47,5.36447,72512348
2017-03-01,5.46,5.52,5.42,5.48,5.374276999999999,54272087
2017-03-02,5.48,5.54,5.4,5.43,5.325241,51927052
2017-03-03,5.4,5.41,5.33,5.34,5.236978,50870165
2017-03-06,5.34,5.41,5.33,5.36,5.2565919999999995,38501961
2017-03-07,5.35,5.65,5.35,5.53,5.423312,104215588
2017-03-08,5.55,5.55,5.43,5.45,5.344855,46809032
2017-03-09,5.45,5.46,5.37,5.39,5.286013,32972349
2017-03-10,5.39,5.55,5.37,5.44,5.3350480000000005,47692562
2017-03-13,5.43,5.74,5.42,5.59,5.482154,106254998
2017-03-14,5.59,5.6,5.48,5.5,5.393891,55907885
2017-03-15,5.49,5.5,5.43,5.5,5.393891,36594968
2017-03-16,5.49,5.57,5.47,5.54,5.4331190000000005,35199670
2017-03-17,5.54,5.62,5.47,5.49,5.384083,49406762
2017-03-20,5.47,5.49,5.39,5.41,5.305626999999999,58887320
2017-03-21,5.4,5.49,5.38,5.46,5.354662,35010323
2017-03-22,5.43,5.5,5.41,5.46,5.354662,30521176
2017-03-23,5.45,5.53,5.42,5.47,5.36447,39933855
2017-03-24,5.55,5.7,5.52,5.58,5.472347,93828178
2017-03-27,5.63,5.69,5.57,5.59,5.482154,54358091
2017-03-28,5.62,5.62,5.48,5.54,5.4331190000000005,45146568
2017-03-29,5.53,5.55,5.47,5.51,5.403698,31507596
2017-03-30,5.5,5.52,5.43,5.49,5.384083,38682992
2017-03-31,5.5,5.56,5.45,5.5,5.393891,27697178
2017-04-05,5.5,5.82,5.5,5.78,5.668489,113013844
2017-04-06,5.73,5.84,5.65,5.81,5.69791,87919557
2017-04-07,5.78,5.86,5.73,5.75,5.639068,47148109
2017-04-10,5.78,5.79,5.71,5.72,5.609646,30158296
2017-04-11,5.81,6.03,5.81,5.92,5.805788,120665509
2017-04-12,5.95,6.1,5.75,5.81,5.69791,104720591
2017-04-13,5.84,5.99,5.79,5.85,5.737138,58431810
2017-04-14,5.85,5.88,5.74,5.76,5.648875,35941377
2017-04-17,5.77,5.99,5.72,5.95,5.835209,72645952
2017-04-18,5.93,6.25,5.92,6.06,5.943087,130944736
