600027,华电国际,0.84,0.74,0.56,0.2,0.01,"769,388","590,181","413,861","141,770","7,919","7,101,469","6,839,772","6,662,467","5,948,997","5,449,081","5,589,966","4,299,427","3,354,014","2,764,490","2,364,615","15,075,554","14,527,031","13,927,770","13,692,625","12,473,301",6.8,7,3.02,3.94,3.26,4.95
600028,中国石化,0.27,0.41,0.58,0.73,0.83,"3,220,700","4,743,000","6,717,900","6,349,600","7,169,700","201,888,300","282,591,400","288,031,100","278,604,500","250,568,300","78,562,300","64,709,500","62,326,000","55,060,100","50,952,500","65,750,600","80,427,300","75,965,600","69,667,000","62,052,800",4.96,6.49,4.48,6.92,7.18,5.41
600029,南方航空,0.39,0.18,0.19,0.27,0.52,"385,100","177,300","189,500","262,800","507,500","11,146,700","10,831,300","9,813,000","10,148,300","9,270,700","4,957,300","4,427,400","4,221,200","3,959,600","3,763,900","13,667,700","14,542,300","12,293,300","10,289,800","9,162,100",8.57,5.16,2.75,3.91,4.74,7.02
600030,中信证券,1.71,1.03,0.48,0.38,1.23,"1,979,979","1,133,719","524,392","423,742","1,257,648","5,601,344","2,919,753","1,611,527","1,169,388","2,503,319","14,173,710","10,113,149","8,940,210","8,668,430","8,699,020","47,437,114","37,849,497","18,195,215","8,182,326","6,129,018",19.35,33.9,12.75,13.36,9.71,16.06
600031,三一重工,0.02,0.09,0.38,0.75,1.14,"13,859","70,921","290,360","568,610","864,890","2,336,687","3,036,472","3,732,789","4,683,054","5,077,630","2,363,072","2,474,083","2,500,884","2,461,346","2,075,361","3,759,702","3,826,862","3,885,895","3,984,794","3,055,311",6.58,9.98,6.42,10.59,12.54,6.1
600033,福建高速,0.2,0.22,0.2,0.15,0.16,"55,079","60,076","54,382","41,069","43,799","257,776","263,603","262,512","242,543","231,206","981,602","954,496","923,824","893,931","869,928","849,938","914,514","997,264","1,083,260","1,111,022",4.26,3.81,2.14,2.23,2.38,3.46
600035,楚天高速,0.3,0.23,0.27,0.21,0.32,"42,965","28,385","25,533","19,535","29,553","123,065","113,024","101,087","95,424","94,987","408,877","374,734","394,280","375,265","356,728","481,464","526,570","915,809","805,607","596,760",6.56,4.51,3.04,2.98,3.35,6.16
600036,招商银行,2.29,2.22,2.3,2.1,1.67,"5,769,600","5,591,100","5,174,300","4,527,300","3,612,900","20,147,100","16,586,300","13,260,400","11,336,700","9,615,700","36,175,800","31,506,000","26,595,600","20,050,700","16,501,000","511,322,000","441,676,900","375,044,300","320,771,200","262,996,100",17.99,16.59,10.89,13.75,11.87,17.6
600037,歌华有线,0.59,0.54,0.36,0.28,0.26,"67,276","56,875","37,675","29,740","27,884","256,807","246,600","224,961","220,209","189,784","1,153,340","629,481","578,364","551,154","531,980","248,784","415,886","453,402","491,616","579,763",21.53,14.49,7.79,6.7,7.99,15.32
600038,中直股份,0.74,0.56,0.49,0.34,0.33,"43,705","33,184","24,723","11,556","10,981","1,254,412","1,245,544","1,083,067","285,819","276,943","656,363","618,831","590,668","159,636","150,538","1,612,974","1,419,784","1,482,343","338,988","162,476",52.73,37.62,27.49,18.82,17.42,48.42
600039,四川路桥,0.34,0.3,0.49,0.65,0.5,"102,510","89,328","51,292","67,509","15,306","3,077,118","2,697,274","2,542,691","2,492,969","671,566","940,737","830,571","725,528","461,492","154,293","4,563,496","4,386,944","3,701,101","2,972,402","698,237",5.1,5.46,6.04,6.47,6.15,4.74
600048,保利地产,1.15,1.14,1.51,1.18,1.1,"1,234,758","1,220,032","1,074,716","843,823","653,095","12,342,878","10,905,650","9,235,552","6,890,576","4,703,622","9,714,038","8,087,228","6,915,318","5,477,952","4,206,441","30,669,282","28,489,336","24,478,668","19,638,910","15,295,016",10.64,10.82,8.25,13.6,10,9.13
600050,中国联通,0.16,0.19,0.16,0.11,0.07,"347,159","398,174","344,285","236,811","141,225","27,704,853","28,857,087","30,372,720","25,626,475","21,551,851","23,404,638","23,032,792","22,162,610","21,223,431","20,861,070","38,127,301","31,679,665","30,973,835","30,612,298","24,991,315",6.18,4.95,3.21,3.5,5.24,7.31
600052,浙江广厦,-0.75,0.24,0.06,0.07,0.33,"-65,611","21,202","5,577","5,732","28,601","234,210","175,915","192,083","152,025","181,239","130,095","200,738","183,399","213,445","247,900","456,934","739,791","832,867","731,274","588,546",8.83,6.4,3.44,4.23,3.42,7.04
600053,九鼎投资,0.66,0.17,0.06,0.03,0.04,"28,654","7,555","2,557","1,265","1,551","112,376","80,322","60,488","33,060","40,057","120,171","87,680","80,992","79,302","78,037","339,052","164,194","201,810","219,342","197,754",58.71,8.5,6.19,7.63,5.9,46.06
600054,黄山旅游,0.62,0.44,0.31,0.51,0.54,"29,579","20,924","14,381","24,001","25,613","166,462","148,991","129,409","184,141","160,123","300,964","225,067","205,693","192,363","174,627","102,707","118,103","129,814","145,605","124,755",23.61,15.49,10.26,12.58,14.85,16.05
600055,万东医疗,0.19,0.12,0.2,0.15,0.18,"4,030","2,569","4,362","3,226","3,989","81,822","73,987","76,468","69,035","58,881","71,121","67,831","67,404","64,471","61,117","61,910","54,858","46,901","44,573","40,312",42.32,18.88,10.24,8.61,10.47,18.12
600056,中国医药,0.61,0.56,1.06,1.12,0.87,"61,445","55,018","48,483","34,856","26,900","2,057,023","1,785,737","1,482,951","990,136","726,860","603,898","548,164","387,312","230,356","191,259","1,011,931","872,198","891,736","587,436","425,221",16.63,16.41,21.81,20.19,20.24,19.03
600057,象屿股份,0.28,0.32,0.28,0.13,0.29,"28,885","28,350","24,144","11,486","17,751","5,992,331","4,838,397","3,540,233","2,935,574","3,393,435","899,311","543,990","206,687","169,479","157,100","1,710,493","1,535,288","1,113,953","505,576","528,086",13.04,10.2,6.81,4.53,5.06,11.5
600059,古越龙山,0.16,0.26,0.23,0.3,0.27,"13,329","18,485","14,394","19,084","17,025","137,595","133,795","146,792","142,179","124,555","380,534","373,691","251,731","243,731","227,713","60,035","59,081","107,132","114,914","81,694",10.99,8.94,9.49,11.42,10.5,10.24
600060,海信电器,1.14,1.07,1.21,1.23,1.95,"148,878","140,004","158,288","160,316","168,907","3,018,999","2,900,707","2,847,986","2,525,198","2,352,372","1,222,612","1,112,470","1,016,891","898,165","731,994","869,520","957,882","969,822","926,971","882,467",19.67,11.43,11.54,10.11,11.88,17.12
600061,国投安信,1.33,0.01,0.01,0.01,0.04,"452,259",620,636,510,"1,676","1,784,682","471,684","435,624","325,261","301,371","2,648,274","61,942","59,778","59,157","58,717","11,465,791","112,130","144,955","113,688","76,674",25.93,23.04,6.16,4.36,5.68,15.61
